"Format","AiM CSV File"
"Session","RIM B"
"Vehicle","RotaxMax2"
"Racer","None"
"Championship",""
"Comment",""
"Date","Sunday, November 9, 2025"
"Time","10:16 AM"
"Sample Rate","20"
"Duration","710.989"
"Segment","Session"
"Beacon Markers","71.831","134.141","195.639","257.131","317.323","377.443","436.893","496.312","555.946","615.233","686.116","710.989"
"Segment Times","1:11.831","1:02.310","1:01.498","1:01.492","1:00.192","1:00.120","0:59.450","0:59.419","0:59.634","0:59.287","1:10.883","0:24.873"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","MagnetomX","MagnetomY","MagnetomZ","Internal Battery","RPM","Calculated Gear","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","g","g","g","deg/s","deg/s","deg/s","mG","mG","mG","V","rpm","#","m"

"2.950","5.6136","15","0.0133","0.1056","0.5134","55.5896","4.9472","418.7068","3.8000","0.1100","18.0594","41.56629491","44.95079675","-0.4661","-0.0251","-0.8806","-25.4844","-1.2128","-4.4947","-588.5750","353.0125","142.2375","4.0234","5072.8501","0.0000","1.3015"
"3.000","5.6500","15","0.0307","0.1185","0.6573","57.9899","11.0029","418.7128","3.8000","0.1100","8.1727","41.56629528","44.95079741","-0.4258","0.0299","-0.8867","-14.2391","-1.4019","-2.5614","-596.3750","357.4250","137.9375","4.0236","5082.9248","0.0000","1.3799"
"3.050","5.8387","15","0.0210","0.0956","0.2872","55.8947","7.3048","418.6996","3.8000","0.1100","12.7212","41.56629575","44.95079823","-0.4302","0.0140","-0.8818","-2.7118","-1.4797","-0.8638","-599.2250","359.8375","137.1812","4.0238","5067.9502","0.0000","1.4593"
"3.100","6.2645","15","0.0194","0.0726","0.2644","57.4440","6.5075","418.6904","3.8000","0.1100","15.3212","41.56629618","44.95079925","-0.4380","-0.0347","-0.8828","0.1406","-1.1990","-0.3419","-600.0000","360.9750","137.8562","4.0240","5037.3252","0.0000","1.5434"
"3.150","6.2687","15","0.0396","0.0913","-0.2760","59.8454","13.0611","418.6672","3.8000","0.1100","7.6386","41.56629643","44.95080014","-0.4951","0.0010","-0.8337","0.4530","-2.6298","0.2101","-595.8750","363.9250","139.6438","4.0239","4957.1499","0.0000","1.6306"
"3.200","6.4245","15","0.0317","0.0788","-0.2801","59.0532","10.2001","418.6556","3.8000","0.1100","10.0243","41.56629691","44.95080109","-0.5566","0.0339","-0.7886","3.0625","-2.5304","0.8126","-590.5750","366.7125","141.3500","4.0237","4634.4502","0.0000","1.7188"
"3.250","6.5117","15","0.0367","0.0583","-0.7941","58.4334","11.5345","418.6282","3.8000","0.1100","8.9850","41.56629728","44.95080200","-0.5740","-0.0161","-0.7778","7.4084","-1.8679","1.6590","-586.8250","366.7750","141.9312","4.0236","4270.7251","0.0000","1.8088"
"3.300","6.5074","15","0.0244","0.0382","-1.2110","59.8214","7.5761","418.6096","3.8000","0.1100","13.6705","41.56629767","44.95080298","-0.6250","-0.0255","-0.8018","6.8777","-1.5505","1.7790","-584.5250","365.5250","141.8813","4.0234","4083.1250","0.0000","1.8993"
"3.350","6.6765","15","-0.0149","0.0287","-1.2019","59.4951","-4.5801","418.6011","3.8000","0.1100","23.2006","41.56629816","44.95080395","-0.6267","-0.0136","-0.8198","4.6643","-1.0672","1.5937","-586.1750","364.8875","139.6875","4.0233","4000.9500","0.0000","1.9906"
"3.400","6.6261","15","-0.0243","0.0181","-1.1393","59.0434","-7.4160","418.6017","3.8000","0.1100","14.2202","41.56629857","44.95080491","-0.6221","0.0201","-0.7695","3.3745","-1.2452","1.2367","-589.4500","364.2625","137.1687","4.0231","4183.3750","0.0000","2.0828"
