index,lat,lon,unk_u16,speed_raw
501,41.567934,44.948226,800,100
502,41.567942,44.948248,800,100
503,41.567948,44.948272,800,100
504,41.56795,44.948297,800,100
505,41.567949,44.948322,800,100
506,41.567946,44.948347,800,100
507,41.56794,44.948371,800,100
508,41.567931,44.948393,800,100
509,41.567921,44.948415,800,100
510,41.56791,44.948435,800,100
511,41.567897,44.948453,800,100
512,41.567883,44.94847,800,100
513,41.567868,44.948486,800,100
514,41.567853,44.948501,800,100
515,41.567837,44.948514,800,100
516,41.56782,44.948526,800,100
517,41.567804,44.948538,800,100
518,41.567786,44.948549,800,100
519,41.567769,44.948559,800,100
520,41.567752,44.948569,800,100
521,41.567734,44.948578,800,100
522,41.567717,44.948588,800,100
523,41.567699,44.948598,800,100
524,41.567682,44.948608,800,100
525,41.567665,44.948618,800,100
526,41.567647,44.948628,800,100
527,41.56763,44.948638,800,100
528,41.567613,44.948648,800,100
529,41.567596,44.948659,800,100
530,41.567578,44.94867,800,100
531,41.567561,44.948681,800,100
532,41.567545,44.948692,800,100
533,41.567528,44.948703,800,100
534,41.567511,44.948715,800,100
535,41.567494,44.948727,800,100
536,41.567478,44.94874,800,100
537,41.567461,44.948751,800,100
538,41.567444,44.948762,800,100
539,41.567426,44.948772,800,100
540,41.567409,44.94878,800,100
541,41.567391,44.948787,800,100
542,41.567372,44.948792,800,100
543,41.567353,44.948796,800,100
544,41.567334,44.948798,800,100
545,41.567316,44.948798,800,100
546,41.567297,44.948797,800,100
547,41.567278,44.948794,800,100
548,41.567259,44.94879,800,100
549,41.567241,44.948782,800,100
550,41.567224,44.948773,800,100
551,41.567207,44.948762,800,100
552,41.56719,44.948749,800,100
553,41.567174,44.948735,800,100
554,41.567159,44.948721,800,100
555,41.567143,44.948706,800,100
556,41.567127,44.948693,800,100
557,41.567111,44.948681,800,100
558,41.567094,44.94867,800,100
559,41.567076,44.94866,800,100
560,41.567058,44.948652,800,100
561,41.56704,44.948646,800,100
562,41.567022,44.948641,800,100
563,41.567003,44.948639,800,100
564,41.566984,44.948637,800,100
565,41.566965,44.948638,800,100
566,41.566946,44.94864,800,100
567,41.566927,44.948644,800,100
568,41.566909,44.94865,800,100
569,41.566891,44.948657,800,100
570,41.566873,44.948667,800,100
571,41.566856,44.948677,800,100
572,41.566839,44.948688,800,100
573,41.566823,44.948701,800,100
574,41.566807,44.948715,800,100
575,41.566792,44.94873,800,100
576,41.566777,44.948746,800,100
577,41.566763,44.948762,800,100
578,41.566749,44.948779,800,100
579,41.566736,44.948797,800,100
580,41.566722,44.948815,800,100
581,41.566709,44.948834,800,100
582,41.566697,44.948852,800,100
583,41.566684,44.948871,800,100
584,41.566671,44.948889,800,100
585,41.566658,44.948908,800,100
586,41.566646,44.948927,800,100
587,41.566633,44.948945,800,100
588,41.56662,44.948964,800,100
589,41.566607,44.948982,800,100
590,41.566594,44.949,800,100
591,41.566581,44.949019,800,100
592,41.566568,44.949037,800,100
593,41.566555,44.949056,800,100
594,41.566543,44.949074,800,100
595,41.56653,44.949093,800,100
596,41.566517,44.949111,800,100
597,41.566504,44.94913,800,100
598,41.566491,44.949148,800,100
599,41.566479,44.949167,800,100
600,41.566466,44.949186,800,100
601,41.566453,44.949204,800,100
602,41.56644,44.949223,800,100
603,41.566428,44.949242,800,100
604,41.566415,44.94926,800,100
605,41.566402,44.949279,800,100
606,41.56639,44.949298,800,100
607,41.566377,44.949316,800,100
608,41.566364,44.949335,800,100
609,41.566352,44.949354,800,100
610,41.566339,44.949373,800,100
611,41.566327,44.949392,800,100
612,41.566314,44.949411,800,100
613,41.566301,44.949429,800,100
